Text;True_Label
fx rudy bertolak jakarta penuhi panggilan pdip buntut dukung ganjar;0
jokowi undang kpu istana bahas pemilu;0
sekjen pan dicecar kuasa hukum ade armando;0
jus daun pepaya obat demam berdarah dengue dbd;1
golkar berpeluang koalisi gerindra nasdem;0
pks pertemuan surya paloh salim segaf peluang koalisi kian;0
kpu pemerintah setuju naikkan honor badan ad hoc pemilu;0
bem fisip unpad klaim berdiri jokowi boong;0
dpr menkes turun tangan atasi konflik idi terawan;0
minum air kelapa penangkal racun divaksin;1
tuai kritik anggota dpr jatah isoman hotel bintang;0
minum air es cuaca panas pembuluh darah pecah;1
survei smrc elektabilitas pdip persen disusul gerindra pkb;0
pdip elektabilitas puan rendah pemilu;0
kalimantan barat memanas;1
cak imin seteru yenny wahid;0
video gelombang tsunami karachi pakistan desember;1
tito ingatkan pj gubernur papua pakai dana otsus rakyat;0
pdip elektabilitas rendah puan satunya pertimbangan;0
foto italia ruang tersedia rumah sakit coronaviruslockdown;1
anies kain batik baju pelanggaran;1
tito sambut positif usul megawati ubah nomor urut parpol;0
meme ustadz abdul somad dukung jokowi;1
foto hasil ct scan paru paru orang divaksin divaksin;1
video aparat polisi lihatlah anak merindukan kasih sayang bapaknya syuhada makamkan mega mendung;1
surat panggilan tes calon karyawan pt pertamina oktober;1
laser termometer gun merusak struktur otak;1
nasdem bela siti nurbaya syahrul limpo digoyang isu reshuffle;0
poster film berjudul the omicron variant dirilis;1
ngabalin klaim jokowi pikir jabatan;0
nasdem demo buruh mei niatnya rebut kekuasaan;0
riza patria respons disiapkan maju cagub dki;0
nama jalan abu dhabi big imam rizieq shihab presiden joko widodo;1
mahfud md tegaskan jokowi setuju pemilu februari;0
susunan kabinet ii jokowi amin;1
foto anak piatu iraq melukis sosok ibunya lantai tidur posisi dada ibunya;1
kuburan kode qr jepang;1
buku berjudul understanding omicron variant dr theresa bishop terbit varian omicron ditemukan dunia;1
gambar hasil suntingan berita sandiaga indonesia raih juara asian games;1
jenderal andika dudung rapat komisi i dpr prabowo absen;0
rakyat muak jijik salaman selfie presiden jokowi widodo;1
gerindra klaim serius koalisi pkb pilpres;0
obrolan lengkap airlangga cak imin bahas sikap nasdem koalisi anies;0
hasil pemeriksaan presiden jokowi positif virus corona;1
gibran klaim kabar pertemuan fx rudy kaesang;0
foto penampakan tol cisumdawu cileunyi sumedang dawuan memangkas menerobos bukit;1
pantun pks surya paloh sahabat koalisi pemilu;0
fraksi pdip solo gibran revisi kenaikan pbb;0
anaconda raksasa memakan wanita berusia;1
survei pengaruh jokowi pilpres;0
moeldoko respons isu reshuffle hadi tjahjanto menteri jokowi;0
surat edaran workshop apak jabatan fungsional perencana pusbindiklatren;1
mahfud sindir airlangga koalisi uang pemilu rp m;0
pdip panggil ganjar buntut pernyataan capres;0
senyum ganjar respons sentilan megawati acara pdip;0
pkb klaim golkar demokrat pks gabung koalisi bareng gerindra;0
gambar wna voting jokowi periode dollar;1
survei ssi gerindra pdip posisi psi juru kunci;0
partai demokrat siapkan tim bantuan hukum lukas enembe;0
dana hibah dinas koperasi ukm provinsi jawa timur;1
gerindra prabowo dihormati dunia presiden indonesia;0
pakar deklarasi visi misi kib menggeser politik catwalk;0
akun whatsapp kepala dishub buleleng gede gunawan;1
pesan whatsapp wakil gubernur sulawesi barat nomor donasi masjid yayasan;1
gaji tunjangan dprd dki anies dibandingkan ahok;0
survei spi pdip partai elektabilitas tertinggi;0
sandiaga uno bertemu prabowo bawa buku catatan pilpres;0
sinyal kuat jokowi berperan kib zulhas gabung kabinet;0
video militer ukraina hancurkan kilang minyak tavrida milik rusia;1
atribut baliho anies dibakar;1
airlangga klaim terima aspirasi petani jokowi periode;0
akun lesti kejora giveaway;1
hillary brigitta bertemu mamat alkatiri dimediasi ketua fraksi;0
nama calon sekda dki disetor jokowi bali;0
puan dikenali warga dianggap adik megawati;0
golkar daya tarik bangun koalisi usung airlangga;0
jumpa golkar nasdem bicarakan mundurkan demokrasi;0
harimau penghuni gunung pegat melintas perbatasan ngadirojo penghubung wonogiri pacitan;1
yogyakarta referendum;1
terapi pijat anak delay speech lambat bicara;1
foto dokter covid disebarkan vaksin;1
ma ruf amin sentil menteri menteri fokus pekerjaan kampanye;0
kemendagri klaim terlibat agenda apdesi dukung jokowi periode;0
sapi tersambar petir kupang dagingnya dijual pasar;1
viani limardi eks psi pindah komisi a dprd dki jakarta;0
info pemutihan surat izin mengemudi april;1
warga prancis berbondong bondong masuk islam;1
dpr panggil kapolri brigadir j reses;0
ahy anggap kritik perlawanan;0
tawaran kuota gratis gb perayaan ulang whatsapp;1
kandung jokowi bernama sulami aktivis gerwani;1
bocah pemulung meninggal kelaparan;1
cak imin berandai maju capres bareng terawan gimana bestie;0
ketua pdip merekumendasikan ganjar maju capres udah pastikan ganjar pranowo penerus jokowi;1
pdip koalisi nasdem bangun bangsa;0
pdip bungkam ibunda arteria dimaki perempuan kerabat jenderal;0
surat berisi cuti libur natal tanggal desember;1
virus corona diobati berendam air laut;1
doa ngabalin bem ui semoga adik adik tamat;0
