Text,True_Label,predicted_label,confusion_matrix_class
foto selebaran waspada penculikan anak anak berumur polda metro jaya,1,1,True Negative
dpr aturan disiplin kerja pns terarah,0,0,True Positive
projo patuh konstitusi sikapi isu penundaan pemilu,0,0,True Positive
peserta pemilu partai ummat nomor urut,0,0,True Positive
foto rumah sakit tega meloloskan bapa membawa pulang mayat anaknya sepeda motor,1,1,True Negative
data aceh korban,1,0,False Positive
cak imin usul calon tunggal presiden cegah konflik horizontal,0,0,True Positive
pbnu panggil ketua pcnu banyuwangi buntut dukungan pilpres,0,0,True Positive
erwin aksa perjanjian anies utang sandiaga rp miliar,0,0,True Positive
perampokan jalan tidar surabaya,1,1,True Negative
ma ruf gugatan sistem pemilu biarkan mk memutuskan,0,0,True Positive
video tentara adat arogan menyerang sopir truk,1,1,True Negative
anies semoga argo parahyangan dinaiki,0,0,True Positive
pdip kritik klaim gubernur banten polisikan buruh lapor jokowi,0,0,True Positive
ruhut sitompul buka suara posting anies berbaju adat papua,0,0,True Positive
harga vaksin indonesia mahal brazil,1,1,True Negative
sanksi fifa pssi banned fifa,1,1,True Negative
isu perusak hutan ketua komisi iv arahkan telunjuk klhk,0,0,True Positive
mayat orang cina bergelimpangan jalan kota wuhan,1,1,True Negative
foto perbanyak pergi mesjid ppkm darurat pemkab sukabumi,1,1,True Negative
politikus pdip masinton jaringan oligarki kaleng kaleng,0,0,True Positive
survei elektabilitas puan airlangga ahy,0,0,True Positive
zulkifli hasan dikabarkan mendag jatah kursi pan,0,1,False Negative
kib plus plus tunggu partai gabung koalisi,0,0,True Positive
nanas madu merusak ginjal,1,1,True Negative
gerindra usul ruu tpks sanksi berlapis pelaku kekerasan seksual,0,0,True Positive
deklarasi anies baswedan capres nongol priangan timur,0,1,False Negative
kpu bawaslu diperiksa pendaftaran partai kedaulatan rakyat,0,0,True Positive
surat penetapan nomor induk kepegawaian,1,1,True Negative
golkar harap capres cawapres kib diambil internal koalisi,0,0,True Positive
relawan jokowi datangi rumah prabowo sore dukung capres,0,0,True Positive
relawan pcr deklarasi dukung luhut erick thohir maju pilpres,0,0,True Positive
foto garda nasional mengamankan acara pelantikan joe biden,1,1,True Negative
bambang pdip respons gerakan rumah ganjar izin megawati,0,0,True Positive
pajak motor mobil mati polisi berhak menilang,1,1,True Negative
bamsoet bentuk hukum pphn diatur konsensus nasional,0,1,False Negative
putri vladimir putin meninggal dosis vaksin covid,1,1,True Negative
lockdown perwilayah lockdown bali tanggal maret,1,1,True Negative
jokowi ketahanan pangan indonesia terancam perubahan iklim,0,0,True Positive
pembohongan pemurtadan strategi gereja publik,1,1,True Negative
air jeruk nipis membersihkan nikotin paru paru,1,1,True Negative
gambar anis lem aibon,1,1,True Negative
sekjen gerindra temui gibran solo orang cari pasangan,0,0,True Positive
qatar menolak pendaratan pesawat team sepak bola jerman bergambar atribut lgbt,1,1,True Negative
jejak panas ganjar vs pdip dicap kemlinthi gubernur medsos,0,0,True Positive
alasan pemecatan suharso monoarfa ketua ppp,0,0,True Positive
tv gda yng nyiarin lampung bersatu,1,1,True Negative
pernyataan dr ir hj sri nurdiati panik masker lupa antibodi,1,1,True Negative
jadwal vaksinasi massal royal plaza surabaya tanggal agustus,1,1,True Negative
as gelontorkan dana triliun pimpinan nu menangkal terorisme,1,1,True Negative
